gene_symbol,mutation_frequency
ERBB4,0.014721345951629864
GMPS,0.014721345951629864
TRIM24,0.013669821240799159
LATS1,0.013669821240799159
FAM135B,0.013669821240799159
AXIN1,0.013669821240799159
AFF3,0.013669821240799159
ZNF93,0.013669821240799159
GNA13,0.013669821240799159
KDM5C,0.013669821240799159
NTRK1,0.013669821240799159
KNL1,0.013669821240799159
TSC2,0.013669821240799159
PPM1D,0.012618296529968454
PRDM1,0.012618296529968454
MAP2K7,0.012618296529968454
FUBP1,0.012618296529968454
ARHGEF10,0.012618296529968454
ASXL2,0.012618296529968454
ATRX,0.012618296529968454
JAK3,0.012618296529968454
RASA2,0.012618296529968454
EBF1,0.012618296529968454
FAM186A,0.012618296529968454
NIN,0.012618296529968454
DCC,0.012618296529968454
CDH11,0.012618296529968454
CARD11,0.012618296529968454
ALK,0.012618296529968454
EPHA2,0.012618296529968454
ZNF626,0.011566771819137749
STAT3,0.011566771819137749
PML,0.011566771819137749
DAZAP1,0.011566771819137749
DICER1,0.011566771819137749
CHD4,0.011566771819137749
CIITA,0.011566771819137749
ARHGEF12,0.011566771819137749
AJUBA,0.011566771819137749
ABCB1,0.011566771819137749
FLT4,0.011566771819137749
TET1,0.011566771819137749
TP63,0.011566771819137749
TAF15,0.011566771819137749
SOX9,0.011566771819137749
PREX2,0.011566771819137749
PCDH17,0.011566771819137749
MYC,0.011566771819137749
RGS7,0.011566771819137749
MET,0.011566771819137749
KAT6B,0.011566771819137749
RNF6,0.011566771819137749
SALL4,0.011566771819137749
PTPN11,0.011566771819137749
CAMTA1,0.010515247108307046
CLTC,0.010515247108307046
AXIN2,0.010515247108307046
FES,0.010515247108307046
FGFR4,0.010515247108307046
EML4,0.010515247108307046
ERBB3,0.010515247108307046
CLIP1,0.010515247108307046
MAP3K13,0.010515247108307046
PDPR,0.010515247108307046
MRTFA,0.010515247108307046
POLD1,0.010515247108307046
PIK3CB,0.010515247108307046
PRKD2,0.010515247108307046
PTPN6,0.010515247108307046
TNFAIP3,0.010515247108307046
SMARCB1,0.010515247108307046
TSC1,0.010515247108307046
ZNF721,0.010515247108307046
