pathway,gene_symbol
IL-17 signaling pathway,TNFAIP3
Inflammatory mediator regulation of TRP channels,NTRK1
Inflammatory mediator regulation of TRP channels,PIK3CA
Inflammatory mediator regulation of TRP channels,PIK3CB
Inflammatory mediator regulation of TRP channels,PIK3R1
Influenza A,BAX
Influenza A,CASP8
Influenza A,CIITA
Influenza A,CREBBP
Influenza A,EP300
Influenza A,JAK1
Influenza A,MAP2K1
Influenza A,PIK3CA
Influenza A,PIK3CB
Influenza A,PIK3R1
Influenza A,PML
Insulin resistance,PIK3CA
Insulin resistance,PIK3CB
Insulin resistance,PIK3R1
Insulin resistance,PTEN
Insulin resistance,PTPN11
Insulin resistance,STAT3
Insulin secretion,CACNA1D
Insulin signaling pathway,BRAF
Insulin signaling pathway,IRS4
Insulin signaling pathway,KRAS
Insulin signaling pathway,MAP2K1
Insulin signaling pathway,NRAS
Insulin signaling pathway,PIK3CA
Insulin signaling pathway,PIK3CB
Insulin signaling pathway,PIK3R1
Insulin signaling pathway,TSC1
Insulin signaling pathway,TSC2
JAK-STAT signaling pathway,CREBBP
JAK-STAT signaling pathway,EGFR
JAK-STAT signaling pathway,EP300
JAK-STAT signaling pathway,JAK1
JAK-STAT signaling pathway,JAK3
JAK-STAT signaling pathway,MYC
JAK-STAT signaling pathway,PIK3CA
JAK-STAT signaling pathway,PIK3CB
JAK-STAT signaling pathway,PIK3R1
JAK-STAT signaling pathway,PTPN11
JAK-STAT signaling pathway,PTPN6
JAK-STAT signaling pathway,STAT3
JAK-STAT signaling pathway,STAT5B
Legionellosis,CASP8
Legionellosis,CR1
Leishmaniasis,CR1
Leishmaniasis,JAK1
Leishmaniasis,PTPN6
Leukocyte transendothelial migration,ARHGAP35
Leukocyte transendothelial migration,ARHGAP5
Leukocyte transendothelial migration,CTNNB1
Leukocyte transendothelial migration,PIK3CA
Leukocyte transendothelial migration,PIK3CB
Leukocyte transendothelial migration,PIK3R1
Leukocyte transendothelial migration,PTPN11
Leukocyte transendothelial migration,RHOA
Long-term depression,BRAF
Long-term depression,GNA13
Long-term depression,KRAS
Long-term depression,MAP2K1
Long-term depression,NRAS
Long-term potentiation,BRAF
Long-term potentiation,CREBBP
Long-term potentiation,EP300
Long-term potentiation,GRIN2A
Long-term potentiation,KRAS
Long-term potentiation,MAP2K1
Long-term potentiation,NRAS
Longevity regulating pathway,BAX
Longevity regulating pathway,IRS4
Longevity regulating pathway,KRAS
Longevity regulating pathway,NRAS
Longevity regulating pathway,PIK3CA
Longevity regulating pathway,PIK3CB
Longevity regulating pathway,PIK3R1
Longevity regulating pathway,STK11
Longevity regulating pathway,TP53
Longevity regulating pathway,TSC1
Longevity regulating pathway,TSC2
Lysosome,CLTC
Lysosome,CLTCL1
MAPK signaling pathway,BRAF
MAPK signaling pathway,CACNA1D
MAPK signaling pathway,EGFR
MAPK signaling pathway,EPHA2
MAPK signaling pathway,ERBB2
MAPK signaling pathway,ERBB3
MAPK signaling pathway,ERBB4
MAPK signaling pathway,FGFR4
MAPK signaling pathway,FLT4
MAPK signaling pathway,KRAS
MAPK signaling pathway,MAP2K1
MAPK signaling pathway,MAP2K4
MAPK signaling pathway,MAP2K7
MAPK signaling pathway,MAP3K13
MAPK signaling pathway,MET
MAPK signaling pathway,MYC
MAPK signaling pathway,NF1
MAPK signaling pathway,NRAS
MAPK signaling pathway,NTRK1
